과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
태블로 자격증 문제풀이,'Tableau Desktop Specialist' 자격증의 88개 예상 문제를 풀이합니다. 직접 태블로 프로그램으로 실습합니다.,없음,없음,"₩44,000",없음
파이썬과 딥러닝을 활용한 시계열 자료 처리,"시간은 끊임없이 흐르고, 데이터는 계속 쌓입니다. 이 역동적인 세계에서 시계열 데이터는 우리 삶의 모든 측면에서 중요한 역할을 합니다. 금융 시장의 변동성부터 기후 변화의 미묘한 신호에 이르기까지, 시계열 데이터는 이 모든 것을 담고 있습니다. 이제 이 강력한 데이터를 파이썬과 딥러닝의 힘을 이용하여 해석하고 활용하는 방법을 배워보세요!",없음,없음,"₩88,000",없음
파이썬과 인공지능을 활용한 금융 자료 분석 기초,"주식, 환율, 코인, 부동산, 채권 등 금융 데이터는 주변에서 쉽게 접할 수 있고 우리에게 돈을 벌 수 있는 기회를 제공하지만 대부분의 사람들은 그 특성과  다루는 방법을 알지 못해 소중한 기회를 놓치고 있습니다. 이 강의를 통해 다양한 금융 데이터의 의미 파악과 파이썬을 이용한 분석 방법을 배울  수 있습니다.",없음,14%,"₩66,000","₩77,000"
Mixpanel로 데이터 들여다보기,한국에서는 찾기 어려운 믹스패널 사용법에 대해서 상세하게 다루는 강의입니다. 이 강의를 통해 믹스패널에 대해서 알아보고 데이터 리터러시 역량을 높여보세요!,없음,없음,"₩49,500",없음
Airflow 마스터 클래스,"데이터 파이프라인을 효율적으로 만들고 관리하기 위한 Orchestration 도구인 Airflow에 대해 배우는 강의입니다. 초보자도 차근차근 배울 수 있는 Airflow 마스터 클래스, 환영합니다!",없음,없음,"₩145,200",없음
파이썬으로 만드는 나만의 웹 페이지 Part1,"이제 파이썬 결과물을 웹 페이지로 나타낸다!
오직 파이썬만을 이용해 나만의 웹 페이지를 만들어볼 수 있어요. 데이터 분석, 머신러닝 등 파이썬으로 만든 결과물을 웹 페이지에서 확인할 수 있는 Interactive DashBoard를 만들어 볼 수 있는 기회입니다!",없음,없음,"₩48,400",없음
ADsP 퀵스타트!,ADsP 자격증 합격 전략을 알아보고 암기 과목들을 요약해서 배워봅니다. 더 이상 주저하지 말고 ADsP 자격증에 도전해 보세요!,없음,없음,없음,없음
특허데이터를 활용한 기술 트렌드 빅데이터 분석,"특허 빅데이터의 수집, 분석, 시각화로 기존에 알 수 없던 비즈니스와 기술 변화의 시그널을 찾아내는 방법을 다루고 있어요!",오늘까지,20%,"₩79,200","₩99,000"
마케팅 성과 분석의 모든 것 (feat. GA4) [월간 데이터리안 세미나 다시보기 | 2023년 11월],"쿠키리스 시대, 마케팅은 어떻게 변화할까요? 마케팅 성과 분석을 어떻게 시작해야 할지 모르겠다면, 11월 세미나를 들어보세요.",없음,없음,"₩33,000",없음
실무자가 알려주는 데이터 분석가 취업 준비 완벽 가이드 [월간 데이터리안 세미나 다시보기 | 2023년 9월],"데이터 분석가 취업 준비, 어디서부터 시작해야 할지 막막하시다면 이번 9월 세미나에서 힌트를 얻어가세요!",없음,없음,"₩33,000",없음
실리콘밸리 엔지니어와 함께하는 Apache Airflow,소프트웨어 데이터 파이프라인을 만들 때 가장 많이 사용하는 Orchestrator(오케스트레이터)인 Apache Airflow(아파치 에어플로우)를 배우실 수 있습니다.,없음,없음,"₩44,000",없음
실전 프로젝트로 배우는 데이터 앱 만들기 with Python & Streamlit,5개의 실전 프로젝트를 통해서 데이터/머신러닝 웹 애플리케이션 개발 방법을 배웁니다. Python과 Streamlit으로 웹 애플리케이션을 쉽고 빠르게 제작하고 배포할 수 있습니다.,없음,없음,"₩55,000",없음
데이터 분석가 커리어: 사이드 프로젝트부터 퍼블릭 스피킹까지 [월간 데이터리안 세미나 다시보기 | 2022년 12월],데이터 분석 사이드 프로젝트의 주제는 어떻게 정하고 어떤 데이터를 사용할지 고민이신가요? 이번 12월 세미나에서 그 힌트를 얻어가실 수 있어요!,없음,없음,"₩11,000",없음
스스로 성장하는 분석가 커리어 만들기 [월간 데이터리안 세미나 다시보기 | 2022년 6월],IT업계 데이터 분석가의 커리어 성장기가 궁금하시다면 6월 세미나를 들어보세요!,없음,없음,"₩11,000",없음
금융데이터 분석을 위한 판다스 활용법,엑셀 대신 파이썬 판다스(Pandas)로 데이터 분석을 더 쉽고 효과적으로 할 수 있다는 사실! 판다스 라이브러리의 기본적인 기능과 실무 활용 방법을 금융데이터 분석을 통해 학습해 봅니다.,없음,없음,"₩55,000",없음
퀀트 투자를 위한 파이썬 트레이딩룸 만들기 - Part 1,"파이썬을 활용해 자신만의 지표를 만들고, 편리하게 증권을 분석할 수 있는 도구를 만들어보세요!",없음,없음,"₩77,000",없음
[백문이불여일타] 데이터 분석을 위한 중급 SQL 문제풀이,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 중급 문제풀이 강의. 
SQL 중급 이론 내용을 연습해 볼 수 있는 여러 문제를 함께 풀어봅니다.",없음,없음,"₩16,500",없음
그로스해킹 - 데이터와 실험을 통해 성장하는 서비스를 만드는 방법,"데이터를 기반으로 정의한 핵심지표를 바탕으로, 실험을 통해 배움을 얻고, 이를 빠르게 반복하면서 서비스를 성장시키는 것.  
그로스해킹의 기본을 다루는 101 강의입니다.",없음,없음,"₩55,000",없음
AI와 빅데이터의 융합 : 데이터 분석의 새로운 패러다임,"미래의 데이터 분석 전문가가 되고 싶으신가요? 이제 그 기회를 잡으세요! 최첨단 인공지능 기술과 빅데이터를 통해 무한한 가능성을 탐구하고, 강력한 인사이트를 도출하는 방법을 배우는 특별한 기회입니다.",없음,없음,"₩77,000",없음
빅데이터분석기사 필기: 3과목 빅데이터 모델,"분석 모형 설계 과정부터 고급 분석 기법까지,
비전공자도 바로 시작하는 빅데이터 분석 자격증!",없음,없음,"₩49,500",없음
데이터 기반 디지털트랜스포메이션 - DT 전략 마스터 클래스,본 강좌는 디지털 전환 시대의 경영자가 의사 결정을 할 때 필요한 분석 역량과 기술에 대한 이해를 함양하고 실제 업무에서 활용할 수 있도록 도와줍니다.,없음,없음,"₩108,900",없음
다양한 사례로 익히는 SQL 데이터 분석,다양한 실전 데이터 분석 사례를 SQL을 통해 구현해 나가면서 데이터 분석 능력과 SQL 활용 능력을 동시에 향상 시킬 수 있습니다.,없음,없음,"₩88,000",없음
Spotfire 사용자교육 고급편 1: 데이터 시각화,"시각화 솔루션 Spotfire - 사용자교육 고급편은 기초편에서 간단하게 다루었던 기능들의 다양한 활용방법, 계산된 칼럼에 활용할 수 있는 Spotfire 함수, Spotfire에서 제공하는 통계분석 기능 등을 학습하는 과정입니다. 
그 중 첫번째 파트에서는 시각화 차트에 대한 심화 과정과 시각화 화면을 설정하는 방법들에 대해 알아봅니다.",없음,없음,"₩60,500",없음
"처음하는 파이썬 데이터 분석 (쉽게! 전처리, pandas, 시각화 전과정 익히기) [데이터분석/과학 Part2]","데이터 분석 입문자를 위한 파이썬 데이터 분석 전과정 기본 기술 익히기 강의입니다. 실제 현업에서 데이터 분석 기술을 활용하고 있는 이커머스 기획자 및 개발자로써, 파이썬 데이터 분석 전과정을 쉽게 익히고, 바로 활용할 수 있도록 만들었습니다.",7일만,21%,"₩60,500","₩77,000"
데이터 분석(파워 쿼리 + 태블로 + 대시보드 기획) 핵심 4시간 끝내기,데이터 전처리 + 데이터 시각화 + 대시보드 기획 = 데이터 기반 문제 해결,없음,없음,"₩33,000",없음
mongoDB 기초부터 실무까지(feat. Node.js),"mongoDB, NoSQL 요즘 많이 들리지만 아직은 낯선 데이터베이스인가요? 관계형 데이터베이스(RDS/SQL)처럼 사용하고 계시지는 않으신가요? 아무리 좋은 기술도 올바르게 사용하지 않으면 역효과가 발생합니다. 그래서 몽고디비 사용 실패 사례도 종종 보이는데요. 이 강의는 mongoDB를 최대한 mongoDB스럽게 사용할 수 있도록 기본 개념부터 실무 노하우까지 가르쳐드려요.",없음,없음,"₩77,000",없음
SQL 코딩테스트를 위한 마지막 걸음,"좀더 어려운 Leetcode SQL 문제를 풀이하면서, 한 문제에 여러 개의 문법을 한번에 적용합니다.",없음,없음,"₩22,000",없음
공공데이터로 파이썬 데이터 분석 시작하기,"이디야는 스타벅스 근처에 입점한다는 설이 있었습니다. 과연 이디야와 스타벅스의 매장입지는 얼마나 차이가 날까요? 
2013년부터 2019년까지 부동산 가격 변동 추세가 아파트 분양가에도 반영될까요? 
우리 동네에는 어떤 공원이 있을까요? 공공데이터 포털에 있는 데이터를 어떻게 활용하면 좋을까요? 공공데이터를 통해 여러 형태의 데이터를 다뤄보며 Python과 여러 데이터분석 라이브러리에 익숙해 지는 것을 목표로 합니다.",없음,없음,"₩66,000",없음
[ChatGPT 활용 실전 데이터분석 특강] 런던 MBA학생들이 배우는 Data Analytics 강의,"""아직도 코딩 책 보고 공부하세요?""
현재 런던 경영대에서 MBA 대학원생들에게 코딩에 대한 지식 없이도 ChatGPT를 활용해서 데이터 분석 및 프로젝트 수업을 가르치고 있는 영국교수(British Professor)입니다.",없음,없음,"₩66,000",없음
[R을 R려줘] R 데이터 시각화,"R 기반 데이터 시각화📊를 가장 쉽게 설명한 강의. (거의) 다 알려드림😎.
마지막에는 COVID-19 💉백신 접종 데이터를 지도🗺️에 뿌려봅니다!",없음,없음,"₩29,700",없음
퀀트 투자를 위한 파이썬 트레이딩룸 만들기 - Part 3,"퀀트 투자를 위한 파이썬 트레이딩룸 만들기 Part 3에서는 포트폴리오 이론 및 실전투자에 필요한 개념 및 코드로 구현하는 방법에 대해 배웁니다. Part 1 & 2에서는 금융데이터 분석을 위한 코드 구현 방법들에 대해서 주로 배웠다면, Part 3에서는 퀀트 투자에 있어 중요한 부분을 차지하는 '포트폴리오'에 대해서 배웁니다. 왜 포트폴리오를 만들어야할까? 라는 의문을 가지고 포트폴리오 이론을 배우며 이를 파이썬으로 구현도 하고, 실전 포트폴리오 투자에 필요한 코드 실습도 진행합니다.
해당 강의를 통해 여러분들만의 포트폴리오 투자에 있어 도움이 되기를 바라겠습니다",없음,없음,"₩99,000",없음
최반장의 엑셀 피벗테이블 마스터 클래스,누구나 일상과 실무에서 쉽고 빠르게 데이터를 분석하고 다이내믹한 자동화된 보고서를 만들 수 있는 엑셀 피벗 테이블을 학습하는 과정입니다. 피벗 테이블은 쉽고 강력합니다. 이 강의를 통해서 데이터 분석을 통한 문제 해결 프로세스를 시작할 수 있습니다.,없음,없음,"₩55,000",없음
"태블로 지도 시각화, 기초부터 고급까지","태블로 지도, 모든 것을 담았고, 넘치도록 퍼줍니다.",없음,없음,"₩297,000",없음
파워BI를 활용한 데이터 시각화 기초,본 콘텐츠는 파워BI를 활용하여 데이터를 시각화하기 위한 기초적인 사용법을 알려드립니다. 데이터 비전공자도 쉽게 확인하여 따라할 수 있도록 구성하였습니다.,없음,10%,"₩32,670","₩36,300"
데이터 리터러시의 이해,오렌지3를 활용하여 데이터를 분석하고 시각화하며 머신러닝 개념을 알아보자!,없음,없음,없음,없음
