과목명,강의 내용,원래 가격
처음 시작하는 Infrastructure as Code: AWS & 테라폼,"그 어떤 강의보다 정확하게 그리고 실무 베스트 프랙티스에 가깝다고 자부할 수 있습니다.
이 강의는 DevOps의 기본 이론과 함께 DevOps의 기본 중 하나인 Infrastructure as Code(IaC)에 대해 배울
수 있는 강의입니다. 본 강의를 통해 IT기반의 서비스를 DevOps관점에서 올바르게 이해하고, 서비스 운영을 위해 코드로 인프라를 정의하는 연습을 하실 수 있습니다.
강의를 마치게 되면, 서비스 운영을 위해 기본적으로 필요한 AWS 리소스를 Terraform이라는 도구를
통해 손쉽게 생성하고 관리하실 수 있습니다.
AWS는 반드시 코드로써 관리해야하기 때문에, AWS 의 기초 공부를 위해서도 해당강의는 필수입니다.",무료
"AWS 클라우드 서비스 인프라 구축 이해와 해킹, 보안","IT 서비스가 클라우드 환경으로 빠르게 전환되고 있습니다. 아마존 AWS 클라우드 환경 보안을 위해 알아야 할 기본적인 가상 인프라 구축부터, 각 영역별 보안 위협 모니터링, 취약점 진단 관점을 통해 보안 실무를 배우게 됩니다.",무료
Golang을 통한 백엔드 개발 및 환경 구축하기,"Golang을 통해서 CRUD를 어떻게 구성하는지는 물론, 프론트엔드와 협업할 때 사용 가능한 PostMan 활용법과 Repository 관리 및 환경 구축까지! 실제 실무에서 필요한 지식을 담았습니다.",무료
AWS Certified Solutions Architect - Associate 자격증 준비하기,이 강의를 통해 AWS Certified Solutions Architect - Associate 자격증 준비와 AWS 서비스에 대한 전반적인 내용을 배울 수 있습니다.,무료
AWS Certified Cloud Practitioner 자격증 준비하기,이 강의를 통해 AWS Certified Cloud Practitioner 자격증 준비와 클라우드의 개념 및 AWS 서비스에 대한 전반적인 내용을 배울 수 있습니다.,무료
실습으로 배우는 AWS(Amazon Web Services) 클라우드 컴퓨팅 입문,다양한 실습을 통해 Amazon Web Services(AWS) 클라우드 컴퓨팅의 원리와 핵심 서비스 사용법을 단계별로 차근차근 학습할 수 있는 강의입니다.,무료
카프카 완벽 가이드 - ksqlDB,본 강의는 ksqlDB의 활용과 핵심 메커니즘을 다양한 실습을 통해 익힐 수 있게 구성되어 있습니다. 강의를 마치고 나면 여러분은 Kafka(카프카) 기반의 실시간 Streaming 데이터 분석 시스템을 쉽고 빠르게 구축하실 수 있게 됩니다.,무료
"실습으로 배우는 프로메테우스 - {{ x86-64, arm64 }}",프로메테우스(🔥)를 가장 쉽고 빠르게 이해하기 위해 실습 위주로 구성했습니다. 🧭 특히 이미 검증된 베스트셀러 '컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커'에서 검증된 내용을 더욱 확장해서 프로메테우스 자체를 더 깊이 학습하도록 작성하였습니다. 💯 또한 실무적인 내용들이 '보강 수업'에 주기적으로 추가되어 있습니다. 프로메테우스를 이와 같이 깊고 넓게 다룬 강의는 없다고 자신합니다!,"₩99,000"
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] 번외편: AWS로 시작하는 서버 운영,"힘들게 만든 서버를 개발 환경에서만 썩힐 수는 없습니다.
본 강의는 AWS을 이용해 외부에서도 접속할 수 있도록 
서버를 운영하는 방법에 대해 학습합니다.","₩44,000"
빅데이터 클러스터 구축 패키지; 성공을 향한 로드맵,"High Availability가 보장되는 빅데이터 시스템 또는 분산처리 시스템 클러스터 (HDFS, Zookeeper, Spark, Zeppelin) 를 직접 구축해보는 코드랩 위주의 수업입니다.",무료
"AWS 배포 완벽가이드 (feat. Lightsail, Docker, ECS)",이 강의에서는 Container Orchestration 대표기술중 하나인 AWS ECS를 배우게됩니다! Github Action으로 CICD도 구축합니다. 하지만 처음부터 ECS를 배우지 않아요. ECS는 DevOps 끝판왕이라고 할 수 있어서 너무 어렵게 느껴질 수 있거든요. 그래서 강의 초반에는 전통적인 가상서버 중에서도 비교적 learning curve가 낮은 AWS Lightsail로 기본기를 먼저 다집니다. 기존 방식의 한계점과 불편한점들도 체감할 수 있어요. 이렇게 기본기와 “Why”로 빌드업을 해서 자연스럽게 Docker Container와 ECS를 배우게 됩니다!,무료
시스템엔지니어가 알려주는 리눅스 실전편 Bash Shell Script,"실전편은 쉘스크립트  뿐 아니라 인프라 전반을 다루고 있습니다.
정말 실무에 가까운 이야기와 실무에서 많이 다뤄야만 하는 트러블슈팅(장애 해결) 위주로 구성했어요!",무료
[DevOps 정석 2] MSA 환경의 로그 분석 기술 구축을 통한 통합로깅,"이 강의를 통하여 마이크로서비스 상에서 로그 분석, 서비스간 상관관계 분석을 기반으로 한 Observability라는 DevOps 분야의 핫 토픽에 대한 인사이트를 얻고 싶은 분께 추천 드립니다.",무료
spring boot actuator 파헤치기,spring boot actuator 기본 설정/사용법 및 나만의 custom endpoint와 metrics를 만들 수 있는 방법을 배우게 됩니다. 사용법만 익히는 게 아닌 내부 코드 및 spring boot 기본 지식도 함께 다루어 조금 더 깊이 있는 이해를 할 수 있게 됩니다.,무료
MS Azure 애저 클라우드 서비스 구축 이해와 보안,"IT 서비스가 클라우드 환경으로 빠르게 전환되고 있습니다. MS 애저 클라우드 환경 보안을 위해 알아야 할 기본적인 가상 인프라 구축부터, 각 영역별 서비스 운영, 모니터링 이해, 보안 영역까지 담았습니다.",무료
구글클라우드(GCP) 플랫폼 기초 활용법,이 강의에서는 구글 클라우드 플랫폼(GCP)를 처음 배우고자 하는 분들께 서비스의 종류를 설명해주고 실습하는 과정을 담았습니다. 클라우드 서비스를 이용한 자원 등록부터 서비스 활용까지 이 강의로 기본 지식을 배워가시기 바랍니다.,무료
데브옵스(DevOps)를 위한 쿠버네티스 마스터,"컨테이너 기반 오픈 소스 가상화 프로젝트인 ""쿠버네티스""를 이용한 컨테이너 환경의 분산 시스템을 탄력적으로 실행하기 위한 프레임 워크를 활용하는 방법을 입문부터 활용까지 다룹니다.",무료
하루만에 배우는 aws 서버리스,👩🏻‍💻 하루만에 배우는 aws serverless 강의 입니다. 실제 CRUD REST API 결과물을 손에 쥐고 돌아갈 수 있어요.,무료
도커 쓸 땐 필수! 도커 컴포즈,"도커를 실제 사용하려다보면 항상 등장하는 도커 컴포즈! 무엇이 좋은지, 어떻게 활용하는지를 실습과 함께 배울 수 있습니다.",무료
AWS(Amazon Web Service) 입문자를 위한 강의,요즈음 회사 및 다양한 프로젝트에서 종종 사용되는 AWS 서비스들의 핵심 이론을 배우며 뿐만 아니라 함께 따라하는 실습을 통하여 AWS를 온전히 내것으로 만들자!,무료
99% J형 엔지니어와 함께하는 AWS EKS와 GitLab CI/CD 기초 완벽 정복,이론적인 내용만 학습하는 것 보다 현업 CI/CD 업무의 전체적인 큰 틀을 직접 구성해보면서 본질을 보는 역량을 키울 수 있는 강의입니다.,무료
백엔드 개발을 위한 필수 강의 - 스프링 부트3,백앤드 개발에서 가장 많이 사용되는 스프링 부트3를 완전 쉽게 강의합니다. 따라하기 식으로 백앤드 개발의 필수이자 가장 많이 사용되는 게시판을 만들어갑니다. 인기 도서 '점프 투 스프링부트3'를 가지고 공부합니다.,무료
"그림으로 배우는 쿠버네티스(v1.30) - {{ x86-64, arm64 }}","쿠버네티스(☸)의 많은 부분을 그림으로 배울 수 있도록 구성되어 있습니다. 🧭
특히 이미 검증된 베스트셀러 '컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커'에서 검증된 내용을 더욱 확장해서 쿠버네티스 자체를 더 깊이 학습하도록 작성하였습니다. 💯
또한 실무적인 내용들이 '보강 수업'에 주기적으로 추가되어 있습니다. 👉 꼭 다른 강의와 비교해 보세요 :)","₩198,000"
시스템엔지니어가 알려주는 리눅스 기초편 Bash Shell Script,"전 세계에서 서버로 가장 많이 사용하는 운영체제인 리눅스(Linux)
그 리눅스를 자유자재로 다루기 위한 첫걸음인 CLI(Command Line Interface)기본 명령어와 그 명령어의 조합으로 만드는 쉘 스크립트에 대한 이야기입니다.
이 강의는 리눅스에 관심이 있는 분이라면 처음에 누구나 가져봤을 의문과 고민을 해결해 드립니다.",무료
CloudNet@와 함께하는 Amazon EKS 기본 강의,"Amazon EKS 초급 사용자를 대상으로, AWS 관리형 쿠버네티스 서비스인 Amazon EKS의 기초를 다루는 강의입니다.",무료
클라우드 입문자를 위한 AWS 핵심 서비스 이해와 실습,Amazon에서 운영하는 공용 클라우드 플랫폼인 AWS 클라우드 서비스를 학습하는 과정입니다. 클라우드 관련 기본적인 개념과 용어를 강의를 오랜 경력의 검증된 강사를 통해 수강하고 핵심 기술에 대한 강사의 시연을 최신 버전으로 전달함으로써 영상과 동일한 결과를 확인할 수 있도록 정리하였습니다. (2023년 8월 기준 최신 인터페이스) AWS 클라우드의 이론과 실습 역량을 균형감 있게 갖춰보세요.,무료
IT 활용자를 위한 MS Azure 2023 클라우드 서비스 입문과 실습,마이크로소프트에서 운영하는 공용 클라우드 플랫폼인 Azure 클라우드 서비스를 학습하는 과정입니다. 클라우드 관련 기본적인 개념과 용어를 강의를 오랜 경력의 검증된 강사를 통해 수강하고 핵심 기술에 대한 강사의 시연을 최신 버전으로 전달함으로써 영상과 동일한 결과를 확인할 수 있도록 정리하였습니다. (2023년 3월 기준 최신 인터페이스) Azure의 이론과 실습 역량을 균형감 있게 갖춰보세요.,무료
