과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
윈도우 리버싱 (window reversing) 완벽 이해 - 레나 챌린지 풀이,이 강의는 윈도우 애플리케이션 리버싱 분석을 통한 크랙 방법과 솔루션 진단 방법을 이해할 수 있도록 도움 드립니다. 올리디버거(OllyDBG)을 단계적으로 적용할 수 있는 방법 및 윈도우즈 애플리케이션에서 적용되는 다양한 기법을 원리부터 하나씩 알려드립니다.,없음,없음,"₩165,000",없음
디지털 포렌식 (Digital Forensic) 전문가 과정,"디지털 포렌식 분석 기술이 여러 분야에서 활용되고 있지만, 항상 공부하는데 어려움이 있습니다. 이 강의는 디지털 포렌식 분석의 많은 분야 활용법을 쉽게 따라갈 수 있도록 이론과 실습으로 구성되어 있습니다.",없음,없음,"₩198,000",없음
안드로이드 모바일 앱 모의해킹과 시큐어코딩,"안드로이드 모바일 가상 뱅킹 앱을 이용하여 실습 중심으로 알아보며, 기본적인 앱 분석부터, 소스코드 대응방안 적용까지 실습할 수 있는 과정입니다. 입문자부터 중급 이상까지 갈 수 있는 코스입니다.
모의해킹 진로를 선택한 분들에게는 필수 과목입니다.!!",없음,없음,"₩132,000",없음
악성코드 분석을 위한 메모리 포렌식 (memory forensic),"윈도우 운영체제 구조, 메모리 구조를 이해할 수 있으며, 메모리에 저장된 정보를 이용하여 어떻게 악성코드를 분석할 수 있는지 상세하게 다루고 있습니다. 또한, 메모리 분석 도구로 활용하고 있는 볼라틸리티 플러그인 제작을 직접 하여 중요정보 획득을 달성하는 것까지 다루었습니다. 악성코드 분석가, 침해사고 대응 분석 등으로 진로를 선택한 분들에게 강력하게 추천합니다.",없음,없음,"₩88,000",없음
모의해킹이란 무엇인가 - 진로편,모의해킹 컨설턴트 진로를 선택한 분들에게 취업을 준비하는데 필요한 프로젝트 방향 및 모의해킹 업무를 이해할 수 있게 구성하였습니다. 다년간 진행한 모의해킹 취업 대상자 스터디 모임의 노하우와 질문 사례를 통해 학습 방향을 제시하여 최고의 답변이 될 것입니다.,없음,없음,"₩11,000",없음
안전한 홈 네트워크를 위한 보안강화: 홈 네트워크 보안을 위한 첫 걸음,"최근 사회에 충격을 준 월패드 해킹 이슈로 인해 홈 네트워크 보안의 필요성이 강조되고 있습니다.
홈 네트워크 보안의 움직임을 이해하고, 보안성을 강화하기 위한 방안을 학습할 수 있습니다.
(이후 정책이나 제도 등의 제·개정으로 인해 내용이 변경될 수 있습니다.)",없음,없음,"₩165,000",없음
취미로 해킹#6(SquareCTF_RR),해킹 대회 SquareCTF(2017)의 모든 챌린지를 클리어할 수 있습니다.,없음,없음,"₩55,000",없음
취미로 해킹#5(DIMICTF),해킹 대회 DIMICTF(2019)의 모든 예선 챌린지를 클리어할 수 있습니다.,없음,없음,"₩55,000",없음
[보안] Wazuh+ELK(SIEM)를 활용한 위협헌팅(Threat Hunting) 시스템 구축 및 운영실습 (기초),[보안 전문가를 위한 교육] Wazuh와 ELK 스택을 결합하여 최적의 위협헌팅 시스템을 직접 구축하고 운영하는 방법을 마스터하세요. 현장에서 바로 적용 가능한 전략과 실습을 통해 보안 능력을 한 단계 업그레이드합니다!,없음,없음,"₩77,000",없음
Skill-Up! 배워서 바로 쓰는 웹쉘 제작,파일 업로드 취약점 공격의 핵심 도구 웹쉘! 이 강의를 통해 같이 웹쉘 제작을 배워보세요~!,없음,없음,없음,없음
웹 해킹과 모의해킹 현업에 대한 이야기,웹 해킹 입문자와 관련 업무 취업 준비생들을 위한 웹 해킹 입문과 모의해킹 현업에 대한 이야기,없음,없음,없음,없음
기초부터 따라하는 디지털포렌식,"기초부터 따라하는 디지털포렌식 강의입니다.
강의를 따라하다보면 ""물 흐르듯, 자연스럽게"" 실력이 늘어가는 강의를 추구합니다.",없음,없음,없음,없음
국가공인 산업보안관리사(ISE) 자격증 대비,디지털 시대로 전환되면서 보안에 대한 이슈는 끊임없이 증가해 왔습니다. 산업보안의 중요성과 해당 위협으로부터 침해 사고가 발생하지 않도록 하기 위한 방법과 지식에 대해 학습함으로써 국가공인 산업보안 관리사를 동시에 대비할 수 있도록 구성하였습니다.,없음,없음,"₩66,000",없음
리눅스 커널 해킹. A부터 Z까지,"리눅스 커널의 각종 보호 기법과 그에 대한 우회 방안, 다양한 취약점들을 분석해보는 강의이며 강의별로 실습 예제가 제공 됩니다.",없음,없음,"₩165,000",없음
2022 ISMS-P 인증심사원 자격검정 Add-on 인증기준 결함 문제풀이,"ISMS-P 인증 심사원 자격검정의 핵심인 인증기준의 모든 결함에 대해 소개하고, 문제를 풀어볼 수 있습니다. 본 과정을 단독으로 수강하여도 좋습니다.",없음,없음,"₩132,000",없음
ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 05 - T3. 개인정보보호 법규(1/2),"ISMS-P 인증 심사원 자격검정의 입문부터 실무 활용까지 모두 담아낸 통합 과정 중 다섯 번째 시리즈 ""ISMS-P 인증심사원 자격검정 기본/실무 과정 T3. 개인정보보호 법규 (1/2)""입니다. 실제 정보보호 실무 사례를 바탕으로 인증제도, 정보보호관리체계의 상세 업무도 습득할 수 있습니다.",없음,없음,"₩110,000",없음
ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 04 - T3. 인증기준3,"ISMS-P 인증 심사원 자격검정의 입문부터 실무 활용까지 모두 담아낸 통합 과정 중 네 번째 시리즈 ""ISMS-P 인증심사원 자격검정 기본/실무 과정 T3. 인증기준3 "" 입니다. 실제 정보보호 실무 사례를 바탕으로 인증제도, 정보보호관리체계의 상세 업무도 습득할 수 있습니다.",없음,없음,"₩132,000",없음
ESXi 가상 인프라 구축과 보안 솔루션을 활용한 이상징후 탐지 모니터링,"IT 인프라들이 가상화, 클라우드 환경 기반으로 서비스가 옮겨지고 있습니다. 서비스는 다양해지고, 매우 많은 애플리케이션들이 인프라 위에서 운영되고 있습니다. 점점 복잡해지는 인프라의 보안에 대응하기 위해서 여러 보안 장비들을 도입하고 있습니다. 하지만, 보안 장비를 구입하지 않으면 경험할 수 없는 것을 오픈 도구를 이용해서 충분히 실습하고 준비할 수 있는 강의가 될 것입니다.",없음,없음,"₩198,000",없음
챌린지로 알아보는 디지털포렌식 해킹 대회 준비(심화),"'디지털포렌식 기술을 가장 빠르게 습득 할 수 있는 방법은 무엇일까?'라는 질문을 항상 마음속으로 품고있다. 많은 사람들이 ""어떻게 하면 빠르게 포렌식 기술을 배우나요?""라는 질문을 자주 물어보곤한다. 본 강사의 경험에 의하면 독학으로 공부하여 지금의 이 자리까지 오르기까지의 방법 중 가장 빠른 방법은 문제풀이로 기술을 습득하는 방법인듯 하다. 본 과정에서는 디지털포렌식 챌린지에서 필요한 기술들과 국내에서 열린 주요 챌린지 문제 풀이를 통해 다양한 포렌식 기술을 습득하고 이해할 것이다.",없음,없음,"₩99,000",없음
악성코드 분석 중급과정 (유형별분석),악성코드 분석 입문과 리버싱을 공부한 뒤 악성코드의 다양한 샘플 분석 방법을 알고 싶다면 이 강의를 꼭 들으시기 바랍니다.,없음,없음,"₩132,000",없음
디지털 포렌식 전문가 2급 실기 과정,최근 어려워진 실기를 대비하여 A~Z까지 분석을 통해 시험 합격에 대비합니다.,없음,없음,"₩99,000",없음
게임 보안 입문을 위한 치트엔진 튜토리얼,"치트엔진 튜토리얼을 통해 프로세스를 열어 원하는 값을 조작할 수 있게 됩니다.
튜토리얼 설치부터 자동으로 깨주는 봇까지 실습하면서 재미있게 즐겨보세요!",없음,없음,없음,없음
네트워크 패킷 분석 입문 및 악성코드 샘플 분석,"악성코드가 배포되는 시점에 제일 어려운것은 스크립트 난독화입니다. 난독화 기법에 대해 이해를 하고, 이를 복호화 한 후에 배포되는 악성코드 실행파일을 분석해보세요",없음,없음,"₩132,000",없음
웹 개발자라면 꼭 알아야 할 보안 기초,"정보 보안은 어렵고, 너무 전문적인 내용이라고요? 아니요. 지금 당장 안전한 웹을 만들어 갈 수 있는 정보 보안 기초를 시작해 보세요!",없음,없음,없음,없음
취미로 해킹#7(SBP),국제 해킹 대회 SquareCTF(2018~2019)의 모든 챌린지를 클리어할 수 있습니다. 다양한 챌린지를 경험하며 ITㆍ보안 분야에 대한 감각과 안목을 넓혀보세요!,없음,없음,"₩77,000",없음
취미로 해킹#4(Nebula),"시스템 해킹 능력을 계발할 수 있는 워게임인 Nebula를 공략하며, 처음부터 끝까지 실습 환경 구축을 포함하여 모든 챌린지를 완역 수록 및 풀이하였습니다. 더불어 각 챌린지에서 요구되는 컴퓨터 과학 지식도 습득할 수 있습니다.",없음,없음,"₩33,000",없음
