과목명,강의 내용,원래 가격
스프링 DB 1편 - 데이터 접근 핵심 원리,"백엔드 개발에 필요한 DB 데이터 접근 기술을 기초부터 이해하고, 완성할 수 있습니다. 스프링 DB 접근 기술의 원리와 구조를 이해하고, 더 깊이있는 백엔드 개발자로 성장할 수 있습니다.",무료
"김영한의 실전 자바 - 고급 2편, I/O, 네트워크, 리플렉션","I/O, 네트워크, 리플렉션, 애노테이션을 기초부터 실무 레벨까지 깊이있게 학습합니다.
웹 애플리케이션 서버(WAS)를 자바로 직접 만들어봅니다.",무료
스프링 부트 - 핵심 원리와 활용,실무에 필요한 스프링 부트는 이 강의 하나로 모두 정리해드립니다.,무료
넓고 얕게 외워서 컴공 전공자 되기,"넓고 얕게 외워서 컴퓨터 공학 전공자가 되고 싶은 모든 비전공 초보자를 위한 강의입니다. 컴퓨터 구조, 운영체제 등 컴퓨터 공학 전공 필수과목에서 어떤 것을 배울 수 있는지 빠른 시간에 알 수 있습니다. 무엇보다 외워서라도 끝낼 수 있습니다!",무료
스프링 MVC 2편 - 백엔드 웹 개발 활용 기술,"웹 애플리케이션 개발에 필요한 모든 웹 기술을 기초부터 이해하고, 완성할 수 있습니다.
MVC 2편에서는 MVC 1편의 핵심 원리와 구조 위에 실무 웹 개발에 필요한 모든 활용 기술들을 학습할 수 있습니다.",무료
프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),"이미 2만명 이상이 학습하고 만족한 최고의 프로그래밍 입문 강의.
인프런이 비전공자 위치에서 직접 기획하고 준비한 프로그래밍 입문 강의로, 프로그래밍을 전혀 접해보지 못한 사람부터 실제 활용 가능한 프로그래밍 능력까지 갈 수 있도록 도와주는 강의입니다.",무료
따라하며 배우는 리액트 A-Z[19버전 반영],"이 강의를 통해 리액트 기초부터 중급까지 배우게 됩니다. 하나의 강의로 개념도 익히고 실습도 하며, 리액트를 위해 필요한 대부분의 지식을 한번에 습득할 수 있도록 만들었습니다.","₩55,000"
오브젝트 - 기초편,"책임 주도 설계 방법으로 대표되는 객체지향 설계 방법을 학습하고 응집도, 결합도, 캡슐화 관점에서 설계를 트레이드오프하는 방법을 살펴봅니다.","₩110,000"
[코드캠프] 부트캠프에서 만든 고농축 백엔드 코스,코딩과 사랑에 빠져버린 8년차 풀스택 개발자 Captain의 사심이 가득 담긴 커리큘럼이에요. 백엔드의 모든 것을 다 알려주고 싶은 Captain의 마음이 녹아있죠! 이 강의를 듣다보면 '이렇게까지 알려준다고?' 하는 생각을 떨칠 수 없을 거예요. 모두가 어려워하는 부분까지 꼭꼭 씹어 떠먹여주는 이 강의로 시작해 볼까요?,무료
GCP 빅쿼리(BigQuery) 입문자를 위한 강의,"GCP에서 제공하는 정형화(Structured), 비정형화(Unstructured) 데이터 둘 다 편리하게 다룰 수 있고 자유로운 테이블 포맷을 허용하는 컬럼 지향 스토리지(Columnar Storage), 만능형 데이터베이스 BigQuery를 함께 배워봐요.","₩45,100"
김영한의 실전 자바 - 중급 1편,실무에 필요한 자바의 다양한 중급 기능을 예제 코드로 깊이있게 학습합니다.,무료
제대로 파는 자바 (Java) - by 얄코,"적당히 배워서는 살아남을 수 없는 시대. 자바, 한 번에 제대로 파서 마스터하세요!",무료
실무 중심!  FE 입문자를 위한 React,"강의를 모두 듣고 나면, 스스로 하나의 웹서비스를 개발할 수 있는 역량을 갖게 됩니다.","₩187,000"
제대로 파는 자바스크립트(JavaScript) - by 얄코,"코알못도 따라올 수 있는 친절한 강좌!
현업 개발자는 자바스크립트 박사로 들어주는 끝판왕 강좌!",무료
스프링 핵심 원리 - 고급편,"스프링의 핵심 원리와 고급 기술들을 깊이있게 학습하고, 스프링을 자신있게 사용할 수 있습니다.",무료
스프링 MVC 1편 - 백엔드 웹 개발 핵심 기술,"웹 애플리케이션을 개발할 때 필요한 모든 웹 기술을 기초부터 이해하고, 완성할 수 있습니다.
스프링 MVC의 핵심 원리와 구조를 이해하고, 더 깊이있는 백엔드 개발자로 성장할 수 있습니다.",무료
앨런 iOS Concurrency(동시성) - 디스패치큐와 오퍼레이션큐의 이해,"동시성(Concurrency)프로그래밍 - iOS프로그래밍에서 필요한 동기, 비동기의 개념 및 그를 확장한 GCD 및 Operation에 관한 모든 내용을 다룹니다.",무료
실전! Querydsl,"Querydsl의 기초부터 실무 활용까지, 한번에 해결해보세요!",무료
실전! 스프링 부트와 JPA 활용1 - 웹 애플리케이션 개발,"실무에 가까운 예제로, 스프링 부트와 JPA를 활용해서 웹 애플리케이션을 설계하고 개발합니다. 이 과정을 통해 스프링 부트와 JPA를 실무에서 어떻게 활용해야 하는지 이해할 수 있습니다.",무료
